Type of property,Subtype of property,Price,State of the building,Surface of the plot,Surface of the land,Area,Number of rooms,Furnished,Fully equipped kitchen,Number of facades,Garden,Garden surface,Open fire,Terrace,Terrace surface,Investment property
House,Villa,609000,As new,510,110,196,3,0,0,4,1,400,0,0,,0
House,House,649000,Good,50,30,160,4,0,0,2,0,,1,1,20,0
House,Apartment block,699000,As new,84,74,314,3,0,0,2,0,,0,1,10,1
House,Mixed-use building,699000,As new,84,74,314,3,0,0,2,0,,0,1,10,1
House,Country house,699000,To be done up,5400,340,,4,0,0,4,1,5000,0,1,60,0
House,Mansion,940000,To be done up,267,266,385,8,0,0,2,1,1,0,0,,0
House,Exceptional property,1190000,Just renovated,117,5,840,7,1,1,2,1,26,0,1,86,0
House,Villa,2250000,,9235,9235,,4,0,0,4,0,,0,0,,0
House,House,2250000,Good,5000,0,550,4,0,0,4,1,5000,0,0,,0
House,House,3950000,As new,9540,-70,1150,4,0,1,4,1,9540,0,1,70,0
House,House,488000,,,,146,3,0,1,3,1,48,0,0,,0
House,Apartment block,360000,To renovate,60,60,240,,0,0,2,0,,0,0,,1
House,House,735000,Good,75,75,250,4,0,1,2,0,,0,0,,0
House,Villa,949000,Good,2030,2030,400,4,0,1,4,0,,0,0,,0
House,House,325000,Good,42,42,128,3,0,0,2,0,,0,0,,0
House,House,369000,As new,567,567,170,4,0,0,,1,,0,0,,0
House,Apartment block,399000,As new,391,391,391,3,1,0,,1,,0,0,,1
House,House,429000,,250,104,250,4,0,0,2,1,110,0,1,36,0
House,Villa,640000,As new,1795,160,265,4,0,1,4,1,1600,0,1,35,0
House,House,649000,Good,,,160,3,0,0,,0,,0,0,,0
House,New real estate project - Houses,349000390350,,,,,,0,0,,0,,0,0,,0
House,House,367700,As new,278,278,168,3,0,1,3,0,,0,0,,
House,House,387500,As new,426,426,162,3,0,1,3,0,,0,0,,
House,House,450000,As new,332,99,235,4,0,1,3,1,205,0,1,28,
House,House,452300,As new,720,720,240,4,0,1,4,0,,0,0,,
House,House,475800,As new,850,850,198,4,0,1,4,0,,0,0,,
House,Mansion,725000,Good,171,171,201,3,0,0,2,0,,0,0,,0
House,House,1395000,As new,,,450,4,0,1,3,0,,0,0,,0
House,House,497000,As new,730,185,223,4,0,1,3,1,500,0,1,45,0
House,House,255000,To be done up,140,62,140,3,0,0,2,1,60,0,1,18,0
House,House,319000,Good,100,78,186,3,0,0,2,1,22,0,0,,0
House,House,320000,As new,325,316,171,3,0,1,2,0,,0,1,9,0
,,,,,,,,0,0,,0,,0,0,,
House,House,395000,Good,,,,1,0,0,2,0,,1,1,25,0
House,House,405000,Good,230,95,170,2,0,1,2,1,135,1,0,,0
House,Apartment block,420000,Just renovated,,,194,2,0,0,2,0,,0,0,,1
House,Villa,615000,As new,2800,2800,370,4,0,1,4,0,,0,0,,
House,House,715000,Good,763,763,,5,0,0,2,0,,0,0,,0
House,Villa,868000,As new,940,105,365,5,0,1,4,1,835,1,0,,0
House,Exceptional property,875000,As new,285,145,215,3,0,1,4,1,70,0,1,70,0
House,Exceptional property,1050000,Just renovated,90,70,270,2,0,0,1,0,,1,1,20,0
House,Villa,1310000,To be done up,2575,-40,605,5,0,1,4,1,2575,0,1,40,0
House,Villa,1398000,As new,1519,1519,638,5,0,1,4,0,,0,0,,0
House,Mansion,2200000,,390,390,850,8,0,0,2,0,,0,0,,0
House,Villa,2875000,,3644,1444,800,8,0,1,4,1,2200,0,0,,1
House,Exceptional property,3300000,Good,397,397,736,7,0,1,4,0,,0,0,,0
House,House,279950,Just renovated,144,68,106,3,0,0,,1,76,0,0,,0
House,House,975000,As new,715,120,225,3,0,0,4,1,550,1,1,45,0
House,House,585000,As new,93,93,255,3,0,0,2,0,,0,0,,0
House,House,369000,Just renovated,,,111,3,0,1,2,0,,0,0,,0
House,House,,Just renovated,217,111,201,4,0,1,2,1,106,0,0,,0
House,House,415000,Just renovated,244,73,244,3,0,0,1,1,150,0,1,21,0
House,Bungalow,70000915,,1659,1659,137,3,0,1,4,0,,1,0,,0
,,,,,,,,0,0,,0,,0,0,,
House,House,325000,,142,142,190,2,0,1,2,0,,0,0,,0
House,House,349950,Good,248,82,200,3,0,0,3,1,150,1,1,16,0
House,Apartment block,353000,Good,141,129,,4,0,0,3,0,,0,1,12,1
House,House,372000,To renovate,555,555,270,5,0,0,4,0,,0,0,,0
House,House,389000,,210,48,206,3,0,0,2,1,162,0,0,,0
House,House,480000,,339,179,185,3,0,0,,1,160,0,0,,0
House,House,549000,As new,636,636,307,5,0,0,4,1,,1,0,,0
House,House,649000,Good,100,65,165,4,0,1,2,1,25,0,1,10,1
House,Villa,865000,As new,3000,3000,451,7,0,1,4,0,,0,0,,0
House,Exceptional property,880000,,680,105,346,4,0,1,3,1,535,0,1,40,0
House,Apartment block,965000,To be done up,60,-1740,240,3,0,1,2,1,1800,0,0,,1
House,House,1000000,Just renovated,,,273,6,0,0,2,0,,0,0,,0
House,Mansion,1149000,Good,174,84,235,4,0,0,2,1,90,1,0,,0
House,Villa,1250000,,3096,1036,311,4,0,0,4,1,2000,0,1,60,0
House,Farmhouse,1650000,As new,23000,3000,250,5,0,1,4,1,20000,0,0,,0
House,House,435000,As new,345,198,293,6,0,0,,1,147,0,0,,0
House,Town-house,405000,As new,92,48,174,2,0,1,2,1,40,0,1,4,0
House,House,329000,,,,190,5,0,0,2,0,,0,0,,1
House,House,362800,As new,312,312,156,3,0,1,2,1,,0,0,,
House,House,390000,Just renovated,150,100,140,3,0,0,2,1,40,0,1,10,0
House,House,455200,As new,538,538,156,3,0,1,3,1,,0,0,,
House,House,275000,,1003,1003,317,5,0,0,4,0,,0,0,,1
House,Mansion,319000,,137,88,193,4,0,1,2,1,35,0,1,14,0
House,House,334000,,267,267,243,5,0,0,2,0,,0,0,,0
House,Mansion,359000,Just renovated,152,151,180,4,0,0,2,0,,0,1,1,0
House,House,289000,To be done up,150,150,125,3,0,0,1,0,,0,0,,0
House,House,295000,Good,441,441,134,3,0,0,3,0,,0,0,,0
House,House,320000,Good,,,,3,0,0,2,0,,0,0,,0
House,House,339000,To renovate,1100,1100,210,2,0,0,4,1,,0,0,,0
House,House,345000,Just renovated,78,78,151,3,0,0,2,0,,0,0,,0
House,House,398000,Just renovated,198,66,,3,0,0,2,1,108,0,1,24,
